                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                0.78831,                0.50964,                 1.0709,                0.79077,                0.70879,                0.77412,                0.39287,                 1.8415,                 1.1582,                 2.1021,              0.0013648,              0.0013648,              0.0013648
                    117,                0.79239,                0.50669,                 1.0675,                0.79441,                0.70879,                0.78371,                0.39276,                 1.8331,                 1.1796,                 2.0481,              0.0013551,              0.0013551,              0.0013551
                    118,                 0.7754,                0.50379,                 1.0667,                0.89527,                0.65756,                 0.7737,                0.39972,                   1.79,                 1.1619,                  2.025,              0.0013454,              0.0013454,              0.0013454
                    119,                0.78121,                0.51232,                 1.0753,                0.83255,                0.62088,                0.72922,                0.38383,                 1.7615,                 1.1586,                 1.9953,              0.0013356,              0.0013356,              0.0013356
                    120,                0.76814,                0.49374,                 1.0638,                0.79729,                0.66484,                0.76171,                0.38639,                 1.8032,                 1.1562,                 2.0265,              0.0013258,              0.0013258,              0.0013258
                    121,                 0.7677,                0.48991,                 1.0613,                0.82701,                0.70922,                0.78253,                0.40691,                  1.747,                   1.11,                 1.9641,              0.0013159,              0.0013159,              0.0013159
                    122,                0.76681,                0.49554,                 1.0626,                0.76835,                0.65385,                0.73955,                0.39404,                 1.7433,                 1.2379,                 1.9673,              0.0013061,              0.0013061,              0.0013061
                    123,                0.74105,                0.48989,                 1.0472,                0.73185,                0.71979,                0.76629,                0.40244,                 1.7384,                  1.169,                  1.984,              0.0012961,              0.0012961,              0.0012961
                    124,                 0.7334,                0.46967,                 1.0433,                0.77314,                0.67411,                0.75814,                0.40926,                  1.757,                 1.1787,                 1.9817,              0.0012862,              0.0012862,              0.0012862
                    125,                0.74061,                0.47396,                 1.0545,                0.80916,                0.67582,                0.73299,                0.38282,                 1.7825,                  1.157,                 2.0596,              0.0012762,              0.0012762,              0.0012762
                    126,                0.73091,                0.45937,                 1.0352,                0.84754,                0.67033,                0.73163,                0.37564,                 1.8252,                 1.1898,                  2.093,              0.0012662,              0.0012662,              0.0012662
                    127,                0.72919,                0.46171,                 1.0394,                 0.7907,                0.65385,                0.71155,                 0.3842,                 1.8008,                 1.1868,                 2.0519,              0.0012562,              0.0012562,              0.0012562
                    128,                0.71847,                 0.4501,                 1.0242,                0.76971,                0.65934,                0.74454,                0.39172,                 1.7812,                 1.1403,                 2.0403,              0.0012461,              0.0012461,              0.0012461
                    129,                0.73702,                 0.4693,                 1.0445,                0.90368,                0.67014,                0.78066,                0.40187,                 1.7547,                 1.2353,                 1.9442,              0.0012361,              0.0012361,              0.0012361
                    130,                 0.7229,                0.45891,                 1.0338,                0.80742,                0.69231,                0.74379,                0.39027,                 1.7877,                 1.1726,                 2.0131,               0.001226,               0.001226,               0.001226
                    131,                0.73019,                0.46118,                 1.0453,                0.78337,                0.71527,                0.79679,                0.40843,                 1.7692,                 1.1596,                 2.0308,              0.0012158,              0.0012158,              0.0012158
                    132,                0.71543,                0.46313,                  1.027,                0.85989,                0.65385,                0.74963,                0.40209,                  1.749,                 1.1031,                 2.0408,              0.0012057,              0.0012057,              0.0012057
                    133,                0.70937,                0.44734,                  1.032,                0.86654,                0.65934,                0.77193,                0.39825,                  1.786,                 1.1254,                 2.0208,              0.0011955,              0.0011955,              0.0011955
                    134,                 0.7159,                0.46532,                 1.0313,                0.85542,                0.65385,                0.75824,                0.40182,                 1.7765,                 1.2361,                 1.9755,              0.0011853,              0.0011853,              0.0011853
                    135,                0.71598,                0.46117,                 1.0322,                0.77906,                0.68681,                0.77538,                0.41152,                  1.781,                0.98986,                 2.0173,              0.0011751,              0.0011751,              0.0011751
                    136,                0.71508,                0.45842,                 1.0348,                 0.7993,                0.70023,                0.76574,                0.39393,                 1.7845,                 1.0835,                 2.0308,              0.0011649,              0.0011649,              0.0011649
                    137,                0.70928,                0.45431,                 1.0287,                0.82492,                0.67309,                0.76203,                0.40329,                 1.7817,                 1.0547,                  2.006,              0.0011546,              0.0011546,              0.0011546
                    138,                0.73331,                0.46683,                 1.0478,                0.79745,                0.64835,                0.74262,                0.38129,                 1.8275,                 1.1446,                 2.0751,              0.0011444,              0.0011444,              0.0011444
                    139,                0.69249,                0.44143,                 1.0187,                0.73055,                0.71429,                0.73998,                0.38445,                 1.7848,                 1.1763,                 2.0055,              0.0011341,              0.0011341,              0.0011341
                    140,                0.69617,                0.45669,                 1.0224,                0.77269,                0.74725,                0.79229,                0.40766,                 1.7878,                 1.1537,                 2.0197,              0.0011238,              0.0011238,              0.0011238
                    141,                0.69251,                0.43559,                 1.0229,                0.81137,                0.68132,                  0.781,                0.40415,                 1.8198,                 1.1974,                 2.0769,              0.0011135,              0.0011135,              0.0011135
                    142,                0.69736,                0.44705,                 1.0258,                0.84232,                0.70879,                0.80604,                0.39939,                 1.7948,                 1.1219,                 2.0867,              0.0011032,              0.0011032,              0.0011032
                    143,                0.70333,                 0.4601,                 1.0311,                0.79762,                0.66484,                0.74434,                0.37762,                  1.832,                 1.2561,                 2.0882,              0.0010928,              0.0010928,              0.0010928
